a00_cle_idweb;d01_07_cp;d01_08_ville;d01_01_denomination;g04_052_descripteurs_libelles;g04_09_resume_objet;g04_061_criteres_sociaux;g01_02_02_perimetre;g01_02_01_famille;g01_02_03_nature;g01_02_04_statut;g04_062_criteres_environnementaux;g04_01_date_publication
19-140234;02000;Laon;DEPARTEMENT DE L'AISNE;['Maintenance'];Prestations d'entretien sur le réseau d'éclairage public du domaine départemental-.;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140256;06100;Nice;UNIVERSITE DE NICE SOPHIA ANTIPOLIS;['Assurance'];MARCHE DE SERVICE D'ASSURANCE CONSTRUCTION;non;cmp2006;fns;appeloffre;rectificatif;non;2019-09-16
19-140175;06406;CANNES;COMMUNE DE CANNES;['Espaces verts', 'Végétaux'];Numéro de la consultation : 2019-0679 Fourniture d'arbres de Noel et d'accessoires végétaux de décoration;non;cmp2006;fns;attribution;initial;non;2019-09-16
19-140106;06512;Carros Cedex;Ville de Carros;['Espaces verts', 'Terrassement'];Aménagement du parc de loisirs et sportif du parc de la Tourre à Carros (06);non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140259;09000;FOIX;CONSEIL GENERAL de L'ARIEGE;['Menuiserie'];Accord-cadre relatif à la réalisation de travaux de menuiseries extérieures et serrureries sur les bâtiments départementaux;non;cmp2006;fns;attribution;initial;non;2019-09-16
19-140129;10000;TROYES;MAIRIE DE TROYES;"[""Tous corps d'état""]";Installation d'un système de récupération de chaleur des eaux grises à la piscine des Chartreux-.;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140226;10700;Arcis-sur-Aube;EHPAD RESIDENCE PIERRE D ARCIS;['Restauration collective'];gestion du service de restauration en sous-traitance avec mise à disposition d'une mercuriale pour la commande de denrées alimentaires;non;cmp2006;mapa;appeloffre;initial;non;2019-09-16
19-140195;13007;Marseille;METROPOLE D AIX MARSEILLE PROVENCE;['Electricité (travaux)'];TRAVAUX REHABILITATION ELECTRIQUE TUNNEL MAJOR;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
19-140185;13568;Marseille cedex 02;DRSID Lyon;"[""Assistance à maîtrise d'ouvrage""]";SALON DE PROVENCE - BA.701 - Construction d'une halle multisports - Elaboration d'un programme ainsi que l'analyse des dossiers de candidatures et des projets du concours de maîtrise d&;non;cmp2006;mapa;appeloffre;initial;non;2019-09-16
19-140138;13657;Salon de provence cedex;Ville de Salon de Provence;['Prestations de services'];PRESTATION DE RÉGULATION DES PIGEONS, EFFAROUCHEMENT DES VOLATILES AUTRES QUE PIGEONS ET ENLÈVEMENT DE VOLATILES DÉCÉDÉS EN NOMBRE SUR LE TERRITOIRE DE LA COMMUNE;non;cmp2006;fns;appeloffre;initial;non;2019-09-16
