;a00_cle_idweb;d01_07_cp;d01_08_ville;d01_01_denomination;g04_052_descripteurs_libelles;g04_09_resume_objet;g04_061_criteres_sociaux;g01_02_02_perimetre;g01_02_01_famille;g01_02_03_nature;g01_02_04_statut;g04_062_criteres_environnementaux;g04_01_date_publication
0;19-141349;01000;Bourg-en-bresse;SDIS de L'Ain;['Charpente'];travaux de réhabilitation et d'extension du centre d'incendie et de secours de miribel - lot no 6 - charpente métallique - bardage - zinguerie;non;cmp2006;fns;appeloffre;initial;oui;2019-09-18
1;19-134852;01000;Bourg-en-bresse;SDIS de L'Ain;"['Dératisation, désinsectisation', ""Matériel de secours et d'incendie""]";fourniture de produits et d'équipements de lutte contre les hyménoptères (2 lots);non;cmp2006;mapa;appeloffre;initial;oui;2019-09-18
2;19-140460;01003;BOURG EN BRESSE CEDEX;DEPARTEMENT DE L AIN;['Matériel de travaux publics'];Fourniture et livraison de chargeurs pour tracteurs 4x4 de gamme voirie pour le Département de l'Ain;non;directive24;joue;attribution;initial;non;2019-09-18
3;19-140507;01003;BOURG EN BRESSE CEDEX;DEPARTEMENT DE L AIN;['Matériel de travaux publics'];Fourniture de saleuses-sableuses avec saumure pour la direction des routes du Département de l'Ain;non;directive24;joue;attribution;initial;non;2019-09-18
4;19-141633;01004;Bourg en bresse cedex;SYND MIXTE TRAITEMENT DECHETS MENAGERS;['Assurance'];PRESTATION DE SERVICE D'ASSURANCE AU BENEFICE D'ORGANOM;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
5;19-140757;01090;MONTCEAUX;CC Val de Saône Centre;['Nettoyage de locaux', 'Vitrerie'];Marché public passé sous la forme d'un accord-cadre (mixte), pour l'exécution de prestations de nettoyage des locaux de la C.C. pour les 7 lots décrits ci-après.;non;directive24;joue;appeloffre;initial;non;2019-09-18
6;19-142161;02209;Soissons;CENTRE HOSPITALIER GENERAL DE SOISSONS;['Isolation'];La marché a pour objet, la réalisation des travaux d'isolation thermique extérieure - bardage pour les façades sud du Centre Hospitalier Jeanne de Navarre de Château-Thierry et de sa maternité. S;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
7;19-141760;02260;Sommeron;Commune de SOMMERON;['Bâtiment', 'Carrelage', 'Charpente', 'Chauffage (travaux)', 'Cloison, faux plafond', 'Démolition', 'Electricité (travaux)', 'Etanchéité', 'Gros oeuvre', 'Menuiserie', 'Plâtrerie', 'Plomberie (travaux)', 'Ventilation'];commune de sommeron - rénovation et extension de la salle polyvalente;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
8;19-140669;02300;CHAUNY;CA Chauny-Tergnier-La Fère;['Etude'];Réalisation du schéma directeur et zonage de gestion des eaux usées et pluviales sur le territoire de la CACTLF;non;directive24;joue;attribution;initial;non;2019-09-18
9;19-140604;02300;CHAUNY;CA Chauny-Tergnier-La Fère;['Alimentation en eau potable'];Contrat de prestation pour le service public d'eau potable pour la Communauté d'Agglomération Chauny-Tergnier-La Fère;non;directive24;joue;attribution;initial;non;2019-09-18
10;19-140597;02300;CHAUNY;CA Chauny-Tergnier-La Fère;['Conteneur, poubelles'];Assurer la fourniture, la livraison et la mise en place de conteneurs enterrés et semi-enterrés destinés à la collecte en AV des Dmr, recyclables et verres;non;directive24;joue;attribution;initial;non;2019-09-18
11;19-140206;02880;Cuffies;Cté. d'Agglo. du Soissonnais;"[""Maîtrise d'oeuvre"", 'Prestations de services']";"concours de maitrise d'oeuvre alloti pour l'aménagement du quartier de gare et restructuration d'une friche industrielle avec construction d'une salle de type "" arena """;non;directive24;joue;attribution;initial;non;2019-09-18
12;19-141653;03201;Vichy cedex;Ville de Vichy;['Electricité (travaux)'];mise en lumière extérieure de l'eglise st blaise;non;cmp2006;fns;appeloffre;rectificatif;non;2019-09-18
13;19-137714;03209;Vichy cedex;Vichy Communauté;['Station de pompage'];vérification et remplacement des réservoirs pression à vessie dans les stations de pompage pour l'arrosage des espaces verts de la ville de vichy et de vichy communauté;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
14;19-141899;04220;Sainte-Tulle;Ville de Sainte Tulle;['Electricité (travaux)', 'Ferronnerie', 'Maçonnerie', 'Menuiserie', 'Peinture (travaux)', 'Plomberie (travaux)'];Travaux de mise en accessibilité de bâtiments recevant du public;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
15;19-140250;04260;Allos;Commune d'Allos;['Transport'];Service De Transport Routier Des Usagers Des Stations Du Val D'Allos Pendant Les Saisons Touristiques (Navettes);non;directive24;joue;appeloffre;initial;oui;2019-09-18
16;19-140785;04301;Forcalquier;CCPFML;['Ordures ménagères (prestations)'];Collecte des ordures ménagères;non;directive24;joue;appeloffre;initial;non;2019-09-18
17;19-141766;04995;DIGNE-LES-BAINS;Département des Alpes de Hte Provence;['Protection, chutes de pierres', 'Terrassement', 'Travaux de viabilité'];Numéro de la consultation : 19MTDBE2 RD20 - PR1+650 au PR1+950 - Calibrage et sécurisation de l'accès aux Thermes - Commune de Digne les Bains;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
18;19-140267;05007;Gap;Ville de Gap;['Télécommunications'];fourniture de services de télécommunication avec la fourniture limitée d'accessoires pour les besoins du Groupement de Commande de la Ville de Gap;non;directive24;joue;attribution;initial;non;2019-09-18
19;19-140520;05008;Gap;DEPARTEMENT DES HAUTES-ALPES;['Travaux de viabilité'];Rd1075 - Création de zones de récupération en accotements entre les Pr 1+120 et 3+500;non;directive24;joue;preinformation;initial;non;2019-09-18
20;19-142033;05100;BRIANCON;Ville de Briançon;['Véhicules (acquisition)'];Acquisition d'un camion benne 4X4 équipé pour la viabilité hivernale - Véhicule d'occasion - pour la Ville de Briançon;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
21;19-142125;05230;CHORGES;COMMUNE DE CHORGES;['Voirie'];travaux de réfection de voirie sur la route de Chanteloube pour 4 700 m2, le hameau des Olliviers pour 1 350 m2, la rue de l'église pour 200 m2 et l'Impasse du Fort pour 80 m2;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
22;19-142122;05230;CHORGES;COMMUNE DE CHORGES;['Voirie'];travaux de réfection de voirie, tranche 2;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
23;19-142170;05600;GUILLESTRE;CC DU GUILLESTROIS ET DU QUEYRAS;['Digue', 'Ouvrage hydraulique', 'Rivières/ruisseaux'];Etudes préalables aux travaux de restauration et de protection des crues du Guil dans la plaine de Château-Queyras - Château Ville Vieille (05);non;cmp2006;fns;appeloffre;initial;non;2019-09-18
24;19-140437;06000;Nice;METROPOLE NICE COTE D AZUR;['Assainissement'];NCA-18-0725 REHABILITATION DES OUVRAGES VISITABLES DU VIEUX NICE (NIC487);non;directive25;joue;attribution;initial;non;2019-09-18
25;19-132012;06005;Nice;CCI de Nice Côte d'Azur;"['Ascenseur', 'Bardage', 'Câblage', 'Chauffage (travaux)', 'Climatisation', 'Couverture', 'Cuisine (équipement)', ""Contrôle d'accès"", 'Electricité (travaux)', 'Espaces verts', 'Etanchéité', 'Fondations spéciales', 'Génie civil', 'Gros oeuvre', 'Menuiserie', 'Métallerie', 'Peinture (travaux)', 'Plomberie (travaux)', 'Revêtements de sols', 'Serrurerie', 'Sécurité incendie', 'Terrassement', ""Tous corps d'état"", 'Ventilation']";travaux de construction d'un campus régional apprentissage;non;directive24;joue;attribution;initial;non;2019-09-18
26;19-141817;06251;Mougins;Ville de Mougins;['Chauffage (matériel)', 'Chauffage (travaux)', 'Climatisation', 'Mobilier', 'Plomberie (travaux)'];réhabilitation d'un bâtiment existant au village de mougins en centre de la photographie - relance des lots no8 et no12;non;cmp2006;fns;attribution;initial;non;2019-09-18
27;19-140858;06364;Nice cedex 4;Métropole Nice Côte d'Azur;['Prestations de services'];19V1242 CONCEPTION ET REALISATION DES MOTIFS ET DECORS DE CHARS CARNAVALESQUES - CARNAVAL DE NICE 2020;non;directive24;joue;appeloffre;initial;non;2019-09-18
28;19-141085;06364;Nice cedex 4;Métropole Nice Côte d'Azur;['Prestations de services', 'Déchets non ménagers (prestations)'];19N0528 - Evacuation et la valorisation des huiles de vidange produites sur le territoire de la Métropole Nice Côte d'Azur;non;directive24;joue;appeloffre;initial;non;2019-09-18
29;19-140848;06364;Nice cedex 4;Métropole Nice Côte d'Azur;['Gaz divers', 'Maintenance'];Achat de gaz alimentaire;non;directive24;joue;appeloffre;initial;oui;2019-09-18
30;19-141924;06364;NICE cedex 4;Syndicat Mixte Stations du Mercantour;['Décoration (travaux)', 'Eclairage public', 'Impression'];réalisation de la scénographie d'un parcours immersif en crête domaine d'isola 2000;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
31;19-141782;06420;Isola;COMMUNE D ISOLA;['Nettoyage de locaux'];ISOLA 2000 - Nettoyage des extérieurs et entrées de la Galerie Commerciale du front de neige;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
32;19-140496;06606;Antibes cedex;Ville d'Antibes Juan-les-Pins;['Prestations de services'];Prestations de gardiennage du Stade nautique municipal;non;directive24;joue;attribution;initial;non;2019-09-18
33;19-140751;06606;Antibes cedex;Ville d'Antibes Juan-les-Pins;['Matériel de sécurité'];Travaux d'installation et de réparation de clôtures;non;directive24;joue;appeloffre;initial;non;2019-09-18
34;19-142002;07007;Privas;Département de l'Ardèche;"[""Assistance à maîtrise d'ouvrage""]";AMO pour la passation et l'exécution d'un accord-cadre de fourniture de denrées alimentaires - relance suite à une déclaration sans suite;non;cmp2006;fns;attribution;initial;non;2019-09-18
35;19-140994;08700;Nouzonville;COMMUNE DE NOUZONVILLE;['Assurance'];Prestations de services d'assurances pour la commune de Nouzonville;non;directive24;joue;attribution;initial;non;2019-09-18
36;19-140618;09000;Saint Paul De Jarrat;SMDEA;['Pompes'];Accord-cadre à bons de commande pour la fourniture de matériel de désinfection pour les unités de production d'eau potable du Smdea - Période 2020 à 2023 (Ariège 09);non;directive25;joue;appeloffre;initial;non;2019-09-18
37;19-140360;10000;TROYES;DEPARTEMENT DE L AUBE;['Electricité, gaz (fourniture)'];Fourniture et acheminement d'électricité-.;non;directive24;joue;appeloffre;initial;non;2019-09-18
38;19-140279;10026;Troyes;DEPARTEMENT DE L AUBE;['Restauration collective'];prestations de restauration collective (restaurants du centre sportif de l'aube et de la résidence du lac d'orient);non;directive24;joue;appeloffre;initial;non;2019-09-18
39;19-140213;10105;romilly-sur-seine cedex;Ville de Romilly-sur-Seine;['Chauffage (exploitation, entretien)'];marche d'exploitation des installations thermiques des batiments communaux du groupement de commande entre la ville de romilly sur seine et de la communaute de commune des porte de romilly sur seine;non;directive24;joue;attribution;initial;non;2019-09-18
40;19-137662;10400;Nogent-sur-Seine;Ville de Nogent-sur-Seine;['Matériel électrique', 'Peinture (fourniture)', 'Quincaillerie (articles)'];Achat de fournitures de quincaillerie pour l'entretien des bâtiments - relance des lots no1 électricité et no3 peinture;non;directive24;joue;appeloffre;initial;non;2019-09-18
41;19-141799;10602;LA CHAPELLE SAINT-LUC CEDEX;Ville de La Chapelle Saint Luc;['Véhicules (acquisition)'];Acquisition d'une chargeuse pelleteuse 4 roues motrices d'occasion;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
42;19-142102;11785;NARBONNE;Le Grand Narbonne;['Réseaux divers'];Fourniture pour la maintenance de réseaux AEP et EU;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
43;19-137391;11890;Carcassonne cedex;CARCASSONNE AGGLO;['Papeterie'];fourniture de bureau et papèterie;oui;directive24;joue;appeloffre;initial;non;2019-09-18
44;19-141856;13005;Marseille;CENTRE HOSPITALIER REG DE MARSEILLE;['Formation'];Prestation de service pour la formation des agents de l'Assistance Publique- Hôpitaux de Marseille;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
45;19-142078;13006;Marseille;CDT13;['Prestations de services', 'Spectacle'];Conception et organisation d'évènements de clôture de l'année de la gastronomie MPG 2019, dans différentes communes du département;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
46;19-140672;13007;Marseille;METROPOLE D AIX MARSEILLE PROVENCE;['Equipement de piscine'];Concours restreint de maîtrise d'oeuvre sur Esquisse pour la démolition et la reconstruction d'un centre aquatique à LAMBESC (13);non;directive24;joue;appeloffre;initial;non;2019-09-18
47;19-140913;13009;Marseille;DISP PACA Corse DPE;['Acier', 'Bâtiment', 'Menuiserie', 'Métallerie', 'Serrurerie'];pose et fourniture de menuiseries extérieures métalliques au quartier disciplinaire de la maison d'arrêt de draguignan;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
48;19-141796;13115;SAINT PAUL LEZ DURANCE;Ville de Saint Paul lez Durance;['Travaux de viabilité'];Requalification du jardin d'enfants et mise en accessibilité PMR;non;cmp2006;fns;attribution;initial;non;2019-09-18
49;19-140610;13140;Miramas;Commune de Miramas;['Denrées alimentaires'];Fourniture de denrées alimentaires pour l'Espace Ambroise Croizat - Commune de Miramas;non;directive24;joue;appeloffre;initial;non;2019-09-18
50;19-140742;13232;Marseille cedex 01;SOLEAM;"[""Maîtrise d'oeuvre""]";(1774 - Ecole primaire de la Capelette) - Mission d'OPC pour la construction d'une école primaire de 16 classes (ZAC de Vallon Regny - 13009 Marseille);non;directive24;joue;appeloffre;initial;non;2019-09-18
51;19-141929;13277;Marseille;DISP PACA Corse DPE;"['Bâtiment', ""Maîtrise d'oeuvre"", 'Ingénierie']";mission de maîtrise d'oeuvre pour l'opération d'extension et d'aménagement structurel du quartier de semi-liberté d'aix-luynes en vue du projet de structure d'accompagnement vers la sortie (sas);non;cmp2006;fns;appeloffre;initial;non;2019-09-18
52;19-140196;13295;Marseille Cedex 8;CMAR PACA;['Cloison, faux plafond', 'Electricité (travaux)', 'Isolation', 'Revêtements muraux'];TRAVAUX DE REQUALIFICATION ÉNERGÉTIQUE D'UN BÂTIMENT DANS LE CADRE DU PROJET ECO BATI - SITE ECONOMIQUE 06;non;directive24;joue;attribution;initial;non;2019-09-18
53;19-142025;13420;Gémenos;commune;['Matériel scénique'];Acquisition et location de matériel scénique, d'éclairage et de sonorisation;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
54;19-142064;13430;Eyguières;Commune d'Eyguières;['Télésurveillance'];Travaux et mise en oeuvre d'un dispositif de vidéo protection;non;cmp2006;fns;attribution;initial;non;2019-09-18
55;19-140637;13481;Marseille;Région Provence Alpes Côte d'Azur;['Transport'];Exécution de services de transport affectés à titre principal aux scolaires département du 06;non;directive24;joue;attribution;initial;non;2019-09-18
56;19-140301;13591;Aix-en-provence cedex 3;Cour d'Appel d'Aix en Provence;['Maintenance'];Exploitation et maintenance multitechnique des équipements et installation des bâtiments abritant les juridictions du ressort de la cour d'appel d'Aix-en-Provence;non;directive24;joue;appeloffre;initial;oui;2019-09-18
57;19-141642;13621;Aix en provence cedex 1;CROUS d'Aix Marseille;"[""Tous corps d'état""]";Travaux de SERRURERIE METALLERIE - MENUISERIES EXTERIEURES ALU pour la réalisation de 81 logements étudiants en restructuration du site Pasteur Alauzen à Avignon - lot no5;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
58;19-141739;13804;Istres cedex;MINARM/DGA/DO/S2A;['Matériel de transmission'];l'objet du présent projet est la fourniture d'équipements radio pour la station Icare. (rectificatif);non;cmp2006DEFENSE;fns;appeloffre;rectificatif;non;2019-09-18
59;19-140524;13808;Istres;COMMUNE D ISTRES;['Assurance'];Prestations d'assurances pour la Ville d'Istres - Dommages aux biensLe marché est conclu pour une durée ferme de 2 ans;non;directive24;joue;appeloffre;initial;non;2019-09-18
60;19-5180;14032;Caen cedex 5;Université de Caen Normandie;['Prestations de services', 'Routage', 'Télécommunications'];téléphonie fixe et téléphonie mobile de l'Université de Caen Normandie;non;directive24;joue;appeloffre;initial;non;2019-09-18
61;19-141092;14035;Caen cedex 1;DEPARTEMENT DU CALVADOS;['Ascenseur', 'Bardage', 'Carrelage', 'Charpente', 'Chauffage (travaux)', 'Cloison, faux plafond', 'Couverture', 'Echafaudage', 'Electricité (travaux)', 'Etanchéité', 'Gros oeuvre', 'Maçonnerie', 'Menuiserie', 'Peinture (travaux)', 'Plomberie (travaux)', 'Revêtements de sols', 'Revêtements muraux', 'Serrurerie', 'Terrassement', 'Végétaux', 'Ventilation', 'Voirie et réseaux divers'];Travaux de restructuration;non;directive24;joue;appeloffre;initial;non;2019-09-18
62;19-140666;14035;CAEN CEDEX;DEPARTEMENT DU CALVADOS;['Voirie'];2019APE173 - RENFORCEMENTS DE CHAUSSEES SUR DIVERSES ROUTES DEPARTEMENTALES DE L'AGENCE ROUTIERE DE PONT L'EVEQUE;non;directive24;joue;attribution;initial;non;2019-09-18
63;19-140586;14035;CAEN;Région Normandie;['Prestations de services'];Prestations d'accompagnement pour la mise en oeuvre de la promotion de l'entrepreneuriat en Normandie dans le cadre du dispositif 'Ici, je monte ma boite';non;directive24;joue;attribution;initial;non;2019-09-18
64;19-141923;14052;Caen cedex 4;MINISTERE DE LA CULTURE;['Electricité (travaux)', 'Menuiserie', 'Monuments historiques', 'Peinture (travaux)'];Restauration du retable du Grand Saint Romain dans la chapelle Saint-Pierre Saint-Paul de la Cathédrale de Rouen;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
65;19-141228;14402;Bayeux cedex;COMMUNE DE BAYEUX;['Mobilier urbain', 'Signalisation', 'Voirie'];Réfection des enrobés sur diverses rues de Bayeux;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
66;19-140211;14460;1, avenue du Pays de Caen, Colombelles;TRAMCITES-Gpt Egis Rail/Normandie-Amén;['Câblage', 'Fibre optique', 'Informatique (matériel)', 'Télégestion', 'Télésurveillance'];travaux liés au système des courants faibles et de la basse tension sur la ligne tramway et au cemt dans le cadre de l'opération tramway 2019 de l'agglomération caennaise;oui;directive25;joue;modification;modification;non;2019-09-18
67;19-141813;16022;Angoulême cedex;Commune d'Angoulême;['Ingénierie'];Levés topographiques et détection de réseaux;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
68;19-141360;16390;Aubeterre sur Dronne;EHPAD;['Assurance'];assurance du personnel;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
69;19-140700;17019;La rochelle;CH GPE HOSP DE LA ROCHELLE RE AUNIS;['Logiciel'];Fourniture d'une solution logicielle, d'équipements, de dispositifs médicaux connectés et de prestations associées dans le cadre d'un projet de télémédecine pour les membres du groupeme;non;directive24;joue;appeloffre;initial;non;2019-09-18
70;19-141824;17301;ROCHEFORT;COMMUNE DE ROCHEFORT;['Bâtiment', 'Equipement sportif'];Construction de terrains de padel tennis et reconstruction du club house;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
