a00_cle_idweb,d01_07_cp,d01_08_ville,d01_01_denomination,g04_052_descripteurs_libelles,g04_09_resume_objet,g04_061_criteres_sociaux,g01_02_02_perimetre,g01_02_01_famille,g01_02_03_nature,g01_02_04_statut,g04_062_criteres_environnementaux,g04_01_date_publication
19-143315,01000,Bourg en Bresse,R.D.T. Ain,"['Clôture', 'Espaces verts', 'Terrassement', 'Voirie et réseaux divers', 'Porte automatique, portail']","CREATION D'UN PARKING VL/PL, REFECTION DU PARKING EXISTANT ET REFECTION DE L'IMPASSE BEL AIR A VALSERHONE",non,cmp2006,fns,attribution,initial,non,2019-09-20
19-142967,01000,Bourg-en-Bresse,ACG-SYNERGIES,['Informatique (prestations de services)'],Mise en place et maintenance d'un outil informatique pour optimiser et planifier les tournées des régies de bailleurs sociaux,non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-142022,01011,Bourg en bresse cedex,CAF de l'Ain,['Nettoyage de locaux'],Prestations de nettoyage des locaux et des vitreries des bâtiments de la Caisse d'Allocations Familiales de l'Ain,non,directive24,joue,appeloffre,initial,non,2019-09-20
19-143172,01012,BOURG EN BRESSE CEDEX,Département de l'Ain,['Ingénierie'],Programme de réalisation de diagnostics autonomie pour les personnes âgées et les personnes handicapées sur le Département de l'Ain public hors plafond ANAH,non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-143346,01120,MONTLUEL,EHPAD LES TILLEULS 01,"['Bâtiment', 'Blanchisserie (matériel)', 'Gros oeuvre', ""Maîtrise d'oeuvre""]",Travaux de réaménagement d'anciennes chambres en blanchisserie,non,cmp2006,fns,appeloffre,rectificatif,non,2019-09-20
19-142381,02000,Laon,Ville de Laon,['Illumination'],Acquisition de décorations de noël.,non,cmp2006,mapa,appeloffre,initial,non,2019-09-20
19-142344,02000,Laon,Ville de Laon,['Prestations de services'],Services de médecine professionnelle et préventive.,non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-143148,02107,SAINT-QUENTIN,COMMUNE DE SAINT QUENTIN,['Cimetière'],Inhumations et exhumations sur la Ville de Saint-Quentin,non,cmp2006,fns,appeloffre,initial,non,2019-09-20
19-143092,02400,Château-Thierry,CA DE LA REGION DE CHATEAU THIERRY,"[""Tous corps d'état""]",Amélioration de la sécurité aux abords du stade de Condé-en-Brie-.,non,cmp2006,mapa,appeloffre,initial,non,2019-09-20
19-143105,02400,Château-thierry,COMMUNE DE CHATEAU THIERRY,"[""Tous corps d'état""]",Amélioration de la sécurité aux abords du stade de Condé en Brie-.,non,cmp2006,mapa,appeloffre,annulation,non,2019-09-20
19-140674,03209,Vichy,Vichy Communauté,"['Informatique (matériel)', 'Logiciel']",acquisition de matériels informatiques et techniques pour le conservatoire d'agglomération de vichy communauté,non,cmp2006,mapa,appeloffre,initial,non,2019-09-20
19-142248,04000,Digne les Bains,COMMUNE DE DIGNE LES BAINS,"[""Compteur d'eau""]",Fourniture de compteurs d'eau potable pour la régie des eaux,non,directive25,joue,attribution,initial,non,2019-09-20
19-142399,05007,Gap cedex,CTRE HOSPITALIER INTERCOM ALPES DU SUD,"['Chauffage (exploitation, entretien)', 'Prestations de services']",Exploitation des installations thermiques du CHBD à Laragne et de ses chaufferies annexes,non,directive24,joue,attribution,initial,non,2019-09-20
