;a00_cle_idweb;g04_01_date_publication;d01_07_cp;d01_08_ville;d01_01_denomination;g04_052_descripteurs_libelles;g01_02_02_perimetre;g01_02_01_famille;g01_02_03_nature;g01_02_04_statut;g04_061_criteres_sociaux;g04_062_criteres_environnementaux;g04_09_resume_objet
0;19-135374;2019-09-22;02000;Laon;Ville de Laon;['Assurance'];directive24;joue;appeloffre;initial;non;non;Assurance des risques statutaires.
1;19-143685;2019-09-22;02200;SOISSONS;Mairie de Soissons;['Assurance'];directive24;joue;appeloffre;initial;non;non;Services d'assurance des dommages aux biens et risques annexes pour la ville de Soissons (02).
2;19-143370;2019-09-22;02603;Villers-Cotterêts cedex;Cté de Communes de Villers Cotterêts;['Transport'];directive23;joue;appeloffre;initial;non;oui;contrat de concession de service public (dsp) pour la gestion du service de transports de voyageurs sur le territoire de la ccrv
3;19-143575;2019-09-22;03016;Moulins;DEPARTEMENT DE L ALLIER;['Pièces détachées'];directive24;joue;appeloffre;initial;non;non;Fournitures de pièces détachées et prestations externalisées pour les véhicules, engins et matériels du Département de l'Allier -
4;19-143021;2019-09-22;03400;YZEURE;ville d'Yzeure;['Assurance'];directive24;joue;appeloffre;initial;non;non;marches d'assurance
5;19-143253;2019-09-22;06364;Nice cedex 4;Métropole Nice Côte d'Azur;['Espaces verts'];directive24;joue;appeloffre;initial;oui;oui;TAILLE ET ABATTAGE D' ARBRES SUR LA COMMUNE DE NICE, EN GESTION PAR LA VILLE DE NICE, LA METROPOLE NICE CÔTE D'AZUR ET LE CCAS VILLE DE NICE
6;19-143473;2019-09-22;06406;Cannes;COMMUNE DE CANNES;['Impression', 'Papeterie'];directive24;joue;appeloffre;initial;non;oui;Fourniture De Papier Pour Les Services Municipaux De La Ville De Cannes
7;19-143083;2019-09-22;08400;Ballay;S.E.E. du sud est des ardennes;['Assurance'];directive24;joue;appeloffre;initial;non;non;Souscription du contrat d'assurance risques statutaires pour le syndicat d'eau et d'assainissement du sud-est des ardennes
8;19-143580;2019-09-22;09300;Lavelanet;COMMUNE DE LAVELANET;['Assurance', 'Prestations de services'];directive24;joue;appeloffre;initial;non;non;Marche Public De Prestations De Services En Assurances
9;19-142912;2019-09-22;10000;Troyes;Troyes Champagne Métropole;['Alimentation en eau potable'];directive24;joue;intentionconclure;initial;non;non;location et entretien de fontaine à eau sur réseau
10;19-143201;2019-09-22;10000;TROYES;DEPARTEMENT DE L AUBE;['Espaces verts'];directive24;joue;attribution;initial;non;non;Entretien du patrimoine arboré du déparement de l'Aube (élagage et abattage)
11;19-143403;2019-09-22;11600;CONQUES-SUR-ORBIEL;COMMUNE DE CONQUES-SUR-ORBIEL;['Eclairage public', 'Maintenance'];directive24;joue;attribution;initial;non;non;maintenance, renouvellement, gestion et exploitation de l'éclairage public
