,a00_cle_idweb,g04_01_date_publication,d01_07_cp,d01_08_ville,d01_01_denomination,g04_052_descripteurs_libelles,g01_02_02_perimetre,g01_02_01_famille,g01_02_03_nature,g01_02_04_statut,g04_061_criteres_sociaux,g04_062_criteres_environnementaux,g04_09_resume_objet
0,19-144110,2019-09-23,01000,Bourg-en-Bresse,SEM DE CONSTRUCTION DU DPT DE L AIN,['Bâtiment'],cmp2006,fns,appeloffre,rectificatif,non,non,Numéro de la consultation : 2019-AMO-0009 Réhabilitation du centre social à Viry (39)
1,19-144289,2019-09-23,01100,OYONNAX,COMMUNE D OYONNAX,['Sel de déneigement'],cmp2006,fns,appeloffre,initial,non,non,Fourniture de sel de déneigement et de produit déverglaçant
2,19-144176,2019-09-23,02260,La Capelle,Communauté de Communes de la Thiérache,['Assainissement'],cmp2006,fns,appeloffre,initial,non,non,"déshydratation et mise en tas des boues des step de la capelle, le nouvion-en-thiérache et boué"
3,19-144254,2019-09-23,02700,TERGNIER,COMMUNE DE TERGNIER,['Voirie'],cmp2006,fns,appeloffre,initial,non,non,Travaux d'entretien et de grosses réparations de la voirie communale de Tergnier-.
4,19-144081,2019-09-23,04160,Château Arnoux Saint Auban,Commune de Château Arnoux Saint Auban,"['Terrassement', 'Terrain de sport']",cmp2006,fns,appeloffre,initial,non,non,Rénovation et création de 2 skates-parks et de 2 city stades
5,19-144082,2019-09-23,05007,Gap cedex,CTRE HOSPITALIER INTERCOM ALPES DU SUD,['Maintenance'],cmp2006,fns,appeloffre,initial,non,non,"Prestations de maintenance et d'entretien du matériel de restauration et des installations frigorifiques du Centre Hospitalier des Escartons à BRIANÇON, du Centre Hospitalier d'AIGUILLES-QUE"
6,19-143962,2019-09-23,05300,Ventavon,COMMUNE DE VENTAVON,['Voirie'],cmp2006,fns,attribution,initial,non,non,Travaux de voirie communale et réseaux divers - Commune de Ventavon
7,19-143845,2019-09-23,06000,Nice,REGIE PARCS D AZUR,['Equipements spécialisés'],cmp2006,fns,appeloffre,initial,non,non,marché de travaux de fourniture et pose de portes rapides rigides automatiques.
8,19-143878,2019-09-23,06100,Nice,UNIVERSITE DE NICE SOPHIA ANTIPOLIS,"['Prestations de services', 'Publicité, Communication', 'Evénementiel']",cmp2006,fns,attribution,initial,non,non,Campagne de sensibilisation au handicap à destination des personnels et enseignants/chercheurs de l'Université de Nice Sophia Antipolis
9,19-143936,2019-09-23,06100,Nice,UNIVERSITE DE NICE SOPHIA ANTIPOLIS,"['Prestations de services', 'Publicité, Communication', 'Evénementiel']",cmp2006,fns,appeloffre,initial,non,non,Campagne de sensibilisation au handicap à destination des personnels et enseignants/chercheurs de l'Université de Nice Sophia Antipolis (RELANCE)
10,19-144450,2019-09-23,06110,LE CANNET,COMMUNE LE CANNET,['Matériel électronique'],cmp2006,fns,appeloffre,rectificatif,non,non,"MAPA 2019-083 Achat, livraison et installation de matériels radios et mise en service du réseau"
11,19-144345,2019-09-23,06190,Roquebrune cap martin,COMMUNE DE ROQUEBRUNE CAP MARTIN,['Eclairage public'],cmp2006,fns,appeloffre,initial,non,non,Travaux de rénovation de l'éclairage public de la commune de Roquebrune Cap Martin
12,19-144395,2019-09-23,06270,Villeneuve Loubet,SDIS (06),['Amiante (désamiantage)'],cmp2006,fns,appeloffre,initial,non,non,Travaux de construction CIS SAINT MARTIN DU VAR
13,19-144386,2019-09-23,08000,CHARLEVILLE-MéZIèRES,COMMUNE DE CHARLEVILLE MEZIERES,['Equipement industriel'],cmp2006,fns,appeloffre,initial,non,non,Fourniture de gros matériels et matériels divers motorisés pour le service des espaces verts et autres services municipaux - Année 2019 - 5 lots-.
14,19-144227,2019-09-23,11855,Carcassonne Cédex 9,Département de l'Aude,['Voirie'],cmp2006,fns,appeloffre,initial,oui,non,RD 611 - RD 111 - Création d'un carrefour giratoire à Ferrals les Corbières
15,19-144049,2019-09-23,13007,Marseille,METROPOLE D AIX MARSEILLE PROVENCE,['Assainissement'],cmp2006,fns,appeloffre,rectificatif,non,non,Travaux de renforcement du réseau d'eau potable de Carnoux 13470.
16,19-144283,2019-09-23,13007,Marseille,METROPOLE D AIX MARSEILLE PROVENCE,"['Alimentation en eau potable', 'Maintenance', 'Ouvrage hydraulique']",cmp2006,fns,appeloffre,rectificatif,non,non,Le présent accord-cadre a pour objet la réalisation d'un programme annuel de prestations de faucardage et de curage sur les berges du canal de Martigues alimentant l'usine de production d&ap
17,19-143847,2019-09-23,13100,SAINT MARC JAUMEGARDE,Ville de Saint Marc Jaumegarde,"['Maintenance', 'Matériel de sécurité']",cmp2006,fns,appeloffre,initial,non,non,MAINTENANCE ET TRAVAUX COMPLEMENTAIRES DU DISPOSITIF DE VIDEOSURVEILLANCE
18,19-144353,2019-09-23,13100,Aix-en-Provence,COMMUNE D AIX EN PROVENCE,['Cimetière'],cmp2006,fns,appeloffre,initial,non,non,Construction de caveaux et travaux sur concessions funéraires
19,19-144492,2019-09-23,13100,SAINT MARC JAUMEGARDE,Ville de Saint Marc Jaumegarde,['Nettoyage de locaux'],cmp2006,fns,appeloffre,initial,non,non,ENTRETIEN DES LOCAUX COMMUNAUX
20,19-142997,2019-09-23,13130,Berre l'Etang,Commune de Berre l'Etang,['Cimetière'],cmp2006,fns,appeloffre,initial,non,non,Réaménagement des espaces libres du cimetière Saint Roch à berre l'etang
21,19-144354,2019-09-23,13150,Saint-Pierre de Mézoargues,Maire de Saint-Pierre-de-Mézoargues,['Voirie'],cmp2006,fns,appeloffre,initial,non,non,AMÉNAGEMENT DE LA TRAVERSÉE DU VILLAGE RD81
22,19-144097,2019-09-23,13233,Marseille cedex 20,Ville de Marseille,"['Chambre froide', 'Nettoyage de locaux']",cmp2006,fns,appeloffre,initial,non,oui,Le présent marché a pour objet l'exécution de prestations de nettoyage et de désinfection de la subdivision 'Post-Mortem' du Funérarium Municipal de la Ville de Marseille. Les prestatio
23,19-144267,2019-09-23,13354,Marseille cedex 05,CENTRE HOSPITALIER REG DE MARSEILLE,"[""Tous corps d'état""]",cmp2006,fns,attribution,initial,non,non,Travaux d'installation d'un cyberknife et de 2 appareils de tomothérapie-Pavillon étoile- hÖPITAL Nord.
24,19-144195,2019-09-23,13402,Marseille Cedex 09,CNRS Marseille,"['Chauffage (travaux)', 'Climatisation', 'Cloison, faux plafond', 'Démolition', 'Electricité (travaux)', 'Etanchéité', 'Gaz divers', 'Gros oeuvre', 'Laboratoire (fourniture)', 'Laboratoire (matériel)', 'Maçonnerie', 'Menuiserie', 'Peinture (travaux)', 'Plomberie (travaux)', 'Revêtements de sols', 'Sanitaire', 'Signalétique', 'Ventilation', 'Amiante (désamiantage)']",cmp2006,fns,attribution,initial,non,non,travaux de réhabilitation de laboratoires de biologie - bâtiments n et n' - 2ème étage situé sur le campus joseph aiguier à marseille.
