a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
19-144929,2019-09-24,2019-10-09,['1'],TRAVAUX D'AMELIORATION DE LA DESSERTE FORESTIERE DES PEROUSES ET DES ETERRES,mapa,cmp2006,appeloffre,initial,COMMUNE CORLIER,01110,Corlier,['Terrassement'],[341],non,non
19-144849,2019-09-24,2019-10-17,['2'],LOCATION DE STRUCTURES GONFLABLES,fns,cmp2006,appeloffre,initial,Cté d'Agglo du Saint-Quentinois,02108,SAINT QUENTIN CEDEX,['Aire de jeux'],[400],non,non
19-144799,2019-09-24,2019-10-21,['5'],Réalisation d'un diagnostic territorial de l'offre et de la demande sanitaires et médico-sociales,mapa,cmp2006,appeloffre,rectificatif,Communauté de Communes de l'Embrunais,05200,EMBRUN,"['Etude', 'Prestations de services', 'Sondage, enquête']","[118, 274, 471]",non,non
19-144729,2019-09-24,2019-10-21,['6'],Prestations de services en assurances : IARD flotte automobile et risques annexes,mapa,cmp2006,appeloffre,initial,Centre Communal d'Action Sociale,06130,GRASSE,['Assurance'],[20],non,non
19-145119,2019-09-24,2019-10-24,['6'],Travaux de rénovation d'un appartement communal suite à un incendie sous toiture sur la commune de Sauze,fns,cmp2006,appeloffre,initial,Communauté de Communes Alpes d'Azur,06260,Puget-Théniers,"['Carrelage', 'Charpente', 'Couverture', 'Electricité (travaux)', 'Gros oeuvre', 'Menuiserie', 'Peinture (travaux)', 'Plomberie (travaux)', 'Ventilation']","[53, 57, 74, 105, 144, 222, 264, 270, 360]",non,non
19-143974,2019-09-24,2019-10-24,['6'],19N0651 COMMUNE DE NICE - AMENAGEMENT DE LA SORTIE OUEST DE LA VOIE MATHIS - LOT 1 TRAVAUX DE GENIE CIVIL,joue,directive24,appeloffre,initial,METROPOLE NICE COTE D AZUR,06364,Nice cedex 4,"['Génie civil', ""Ouvrage d'art""]","[141, 252]",non,non
19-144993,2019-09-24,2019-10-24,['6'],Travaux d'aménagement de voirie,fns,cmp2006,appeloffre,initial,Ville de Valbonne,06560,Valbonne,"['Abonnement', 'Réseaux divers', 'Voirie', 'Voirie et réseaux divers']","[2, 306, 365, 366]",non,oui
19-144581,2019-09-24,2019-10-10,['6'],"Aménagement d'un restaurant scolaire temporaire (sols, murs, plafonds).",mapa,cmp2006,appeloffre,initial,Ville d'Auribeau-sur-Siagne,06810,Auribeau-sur-Siagne,"['Carrelage', 'Cloison, faux plafond', 'Peinture (travaux)', 'Revêtements de sols']","[53, 63, 264, 308]",non,non
19-144624,2019-09-24,2019-10-10,['6'],Aménagement d'un restaurant scolaire temporaire : Electricité,mapa,cmp2006,appeloffre,initial,Ville d'Auribeau-sur-Siagne,06810,Auribeau sur siagne,['Electricité (travaux)'],[105],non,non
19-144594,2019-09-24,2019-10-23,['7'],"Assistance à la mise en place d'un accord-cadre à bon de commande pour la fourniture de denrées alimentaires, nécessaires à l'élaboration des repas servis dans les collèges publics du départ",fns,cmp2006,attribution,initial,Département de l'Ardèche,07007,Privas,['Assistance technique'],[19],non,non
19-144992,2019-09-24,2019-10-31,['7'],Marché de prestation de service d'assurance pour les besoins du sictoba: protection juridique des agents et élus,mapa,cmp2006,appeloffre,initial,SICTOBA,07460,Beaulieu,['Assurance'],[20],non,non
19-144828,2019-09-24,2019-12-03,['8'],"Fourniture, installation et maintenance de solutions et de services Wifi public Relance",fns,cmp2006,attribution,initial,ARDENNE METROPOLE,08003,Charleville-Mézières,['Prestations de services'],[274],non,non
19-144518,2019-09-24,2019-10-18,['10'],"Fourniture de plaques de rues, plaques inaugurales, plaques de numéros de rues et accessoires - 2ème Relance-.",fns,cmp2006,appeloffre,initial,MAIRIE DE TROYES,10000,TROYES,['Métallurgie'],[224],non,non
