a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
20-68898,2020-05-27,2020-06-17,"['69', '1', '38', '71']",SAINT JEAN DE NIOST : Les Bois de Vavres - Aménagement d'un local commercial en supérette VIVAL,mapa,cmp2006,appeloffre,initial,SEM DE CONSTRUCTION DU DPT DE L AIN,01000,Bourg-en-Bresse,,"['Carrelage', 'Electricité (travaux)', 'Menuiserie', 'Plâtrerie', 'Plomberie (travaux)']","[53, 105, 222, 269, 270]",non,non
20-67954,2020-05-27,2020-06-22,['1'],réaménagement de l'entrée de l'hôtel du département de l'ain - lots no3 charpente métallique - métallerie et no6 habillages métalliques,mapa,cmp2006,appeloffre,initial,DEPARTEMENT DE L AIN,01000,Bourg en bresse cedex,,"['Bâtiment', 'Charpente', 'Ouvrage métallique']","[33, 57, 254]",non,oui
20-67485,2020-05-27,2020-06-29,"['1', '69']",mission de maîtrise d'oeuvre relative aux travaux de réaménagement du secteur du pont de lyon,joue,directive24,appeloffre,initial,Ville de Bourg-en-Bresse,01000,Bourg-en-Bresse,,"[""Maîtrise d'oeuvre""]",[197],non,non
20-68779,2020-05-27,2020-06-22,['1'],Prestations topographiques et de géodétection sur 8 communes du territoire du Haut-Bugey (01),fns,cmp2006,appeloffre,rectificatif,Haut-Bugey Agglomération,01117,Oyonnax cedex,,"['Alimentation en eau potable', 'Assainissement', 'Ingénierie']","[6, 18, 455]",non,non
20-68986,2020-05-27,2020-06-30,"['1', '69']",restauration de la zone humide de la petite saône,fns,cmp2006,appeloffre,initial,Commune de Trévoux,01600,Trevoux,,"['Bois', 'Espaces verts']","[38, 116]",non,non
20-67463,2020-05-27,2020-08-03,['2'],Fourniture et livraison de matériels de signalisation en matière plastique pour les routes départementales de l'Aisne,joue,directive24,attribution,initial,DEPARTEMENT DE L'AISNE,02000,Laon,"[('2020-04-28', 'SODILOR', (360000.0, 'EUR'), 'Lot unique')]",['Plastique'],[268],non,non
20-68086,2020-05-27,2020-07-01,['2'],ACQUISTION DE VEHICULE LEGER - CITADINE POLYVALENTE-.,joue,directive24,appeloffre,initial,SCE DEPARTEMENTAL INCENDIE ET SECOURS,02007,Laon,,['Pièces détachées'],[266],non,non
20-68828,2020-05-27,2020-06-19,['2'],Services de transports en autocar pour la ville Villers-Cotterêts,fns,cmp2006,appeloffre,initial,Ville de Villers-Cotterêts,02603,VILLERS-COTTERETS,,['Transport'],[347],non,non
20-67619,2020-05-27,2020-06-05,['3'],ACCORD CADRE A BONS DE COMMANDE DE TRAVAUX TCE DE REMISE EN ETAT ET DE REMISE A NEUF DES LOGEMENTS DU PATRIMOINE D'ÉVOLÉA,joue,autre,rectificatif,rectificatif,EVOLEA,03000,MOULINS,,"[""Tous corps d'état""]",[345],non,non
20-68643,2020-05-27,2020-06-17,"['3', '63']",Eclairage du parking du complexe tennis d'agglomération 'Le Sporting',mapa,cmp2006,appeloffre,initial,Vichy Communauté,03209,Vichy,,['Eclairage public'],[102],non,non
20-68777,2020-05-27,2020-06-17,"['3', '63']",Prestations de navettes fluviales,mapa,cmp2006,appeloffre,initial,Vichy Communauté,03209,Vichy,,['Transport'],[347],non,non
20-68905,2020-05-27,2020-08-24,['6'],Mise en place d'une prestation de sécurité/gardiennage au Campus Valrose,mapa,cmp2006,attribution,initial,UNIVERSITE DE NICE SOPHIA ANTIPOLIS,06103,Nice,,['Prestations de services'],[274],non,non
20-68040,2020-05-27,2020-07-03,['6'],RAMASSAGE ET EVACUATION DE LA POLLUTION CANINE,joue,directive24,appeloffre,initial,Ville de Mandelieu La Napoule,06212,MANDELIEU Cedex,,['Nettoyage urbain'],[240],non,non
20-67689,2020-05-27,2020-06-18,['6'],Travaux de reconstruction des tabliers des ponts de Salèse et du Boréon.,joue,directive24,appeloffre,initial,METROPOLE NICE COTE D AZUR,06364,Nice cedex 4,,"['Démolition', 'Génie civil', ""Ouvrage d'art""]","[87, 141, 252]",oui,oui
20-67568,2020-05-27,2020-07-09,['6'],19N0901 - Missions de maîtrise d'oeuvre pour la ligne 4 de tramway (T4),joue,directive25,appeloffre,initial,METROPOLE NICE COTE D AZUR,06364,Nice cedex 4,,['Prestations de services'],[274],non,non
