,a00_cle_idweb,g04_01_date_publication,g04_03_date_fin_diffusion,g04_07_dep_publication,g04_09_resume_objet,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,d01_01_denomination,d01_07_cp,d01_08_ville,d08_09_decision_titulaireandRENSEIGNEMENT,g04_052_descripteurs_libelles,g04_051_descripteurs_codes,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
0,20-142403,2020-11-20,2020-12-14,['1'],"Fourniture et installation d'un logiciel de contrôle d'accès et de gestion des demi-pensions et autres fonctionnalités, pour les collèges du Département de l'Ain",fns,cmp2006,appeloffre,initial,DEPARTEMENT DE L AIN,01003,BOURG EN BRESSE CEDEX,,['Logiciel'],[186],non,non
1,20-141016,2020-11-20,2020-12-21,['1'],"travaux de construction du pôle de l'entrepreneuriat - iv - lots no07, 08, 09, 15, 19 et 23.",joue,directive24,appeloffre,initial,Cté d'Agglomération du Pays de Gex,01170,Gex,,"['Bardage', 'Bâtiment', 'Carrelage', 'Chauffage (travaux)', 'Equipements spécialisés', 'Menuiserie', 'Nettoyage de locaux', 'Sanitaire', 'Ventilation']","[30, 33, 53, 61, 115, 222, 239, 319, 360]",non,non
2,20-142406,2020-11-20,2020-12-04,['1'],Extension et rénovation des vestiaires de football,fns,cmp2006,appeloffre,initial,Mairie de Manziat,01570,Manziat,,"['Carrelage', 'Charpente', 'Chauffage (travaux)', 'Cloison, faux plafond', 'Couverture', 'Electricité (travaux)', 'Gros oeuvre', 'Menuiserie', 'Peinture (travaux)', 'Plâtrerie', 'Plomberie (travaux)', 'Terrassement', 'Ventilation', 'Amiante (désamiantage)']","[53, 57, 61, 63, 74, 105, 144, 222, 264, 269, 270, 341, 360, 479]",non,non
3,20-142846,2020-11-20,2020-12-11,['3'],Mise en concurrence des opérateurs de téléphonie.,fns,cmp2006,appeloffre,initial,Ville de Moulins,03016,Moulins cedex,,['Télécommunications'],[338],non,non
4,20-142413,2020-11-20,2020-12-14,"['3', '63']",opération de fouilles archéologiques préventives - zac monzière,mapa,cmp2006,appeloffre,initial,Vichy Communauté,03209,Vichy,,['Fouille archéologique'],[450],non,non
5,20-142487,2020-11-20,2020-12-14,['3'],fourniture de composteurs en plastique et en bois,mapa,cmp2006,appeloffre,initial,SYND MIXTE INTERCOMMUNAL COLLECTE TRAI,03410,Domérat,,['Composteur'],[439],non,non
6,20-142815,2020-11-20,2021-01-04,['4'],Numéro de la consultation : AGGMF20F02 FOURNITURE DE PIECES MECANIQUES ET ACCESSOIRES POUR VEHICULES LEGERS,fns,cmp2006,appeloffre,initial,DURANCE LUBERON VERDON AGGLOMERATION,04100,Manosque,,"['Pièces détachées', 'Véhicules']","[266, 359]",non,non
7,20-141148,2020-11-20,2021-02-15,['4'],Numéro de la consultation : 20sgb004 Maintenance Et Remplacement Des Systemes D'Extinction Et Formation Du Personnel Aux Moyens De Secours,joue,directive24,attribution,initial,Département des Alpes de Hte Provence,04995,Digne-Les-Bains,"[('2020-11-13', ""A.D.I. - Azuréenne d' Incendie"", (26148.3, 'EUR'), 'Secteur Est'), ('2020-11-13', ""A.D.I. - Azuréenne d' Incendie"", (26148.3, 'EUR'), 'Secteur Ouest')]","['Extincteur', 'Maintenance', ""Matériel de secours et d'incendie"", 'Formation']","[119, 196, 217, 410]",non,non
8,20-141440,2020-11-20,2020-12-31,['5'],Confection et livraison de repas en liaison froide pour le S.D.I.S. des Hautes-Alpes,joue,directive24,attribution,initial,Sdis 05,05000,Gap,"[('2020-09-30', 'GARIG SAS', (600000, 'EUR'), 'Lot 1 - Confection et livraison de repas en liaison froide pour le SDIS de Gap'), ('2020-09-30', ""CENTRE HOSPITALIER D'EMBRUN"", (120000, 'EUR'), ""Lot 2 - Confection et livraison de repas en liaison froide pour le CIS d'Embrun""), ('2020-09-30', 'FONDATION EDITH SELTZER', (260000, 'EUR'), 'Lot 3 - Confection et livraison de repas en liaison froide pour le CIS de Briançon')]",['Restauration collective'],[66],non,non
9,20-141388,2020-11-20,2020-12-21,['6'],Acquisition de matériels wifi et prestations associées,joue,directive24,appeloffre,initial,UNIVERSITE DE NICE SOPHIA ANTIPOLIS,06103,Nice,,['Equipements spécialisés'],[115],non,non
