,index,g01_01_id_web,g04_01_date_publication,len_d05_25_lots,description,valeur,valeurmax,valeurmin,codenuts,cpv,criteresattribution,d01_01_denomination,d01_02_code_ident_national,d01_05_adjudicateur_nuts,d01_07_cp,d01_08_ville,d01_15_url_profil_acheteur,datedebut,dateexecution,datefin,datelancement,datelivraison,dureejours,dureemois,infocompl,intitule,lieuprincipal,nbcandidats,num,optionsdescription,optionsnon,optionsoui,quantite,renouvellementdescription,renouvellementnon,renouvellementoui,suphuitansjustification,supquatreansjustification,variantesnon,variantesoui,catalogueelectroniquenon,catalogueelectroniqueoui
0,239,19-2192,2019-01-07,4,"Location, Installation/Désinstallation de deux Pistes de Luge",,,,[],[],[],ville de marseille,,,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,,,"Location, Installation/Désinstallation de deux Pistes de Luge",,,1,,,,,,,,,,,,,
1,242,19-2192,2019-01-07,4,Sculpture sur Glace et Atelier d'Initiation,,,,[],[],[],ville de marseille,,,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,,,Sculpture sur Glace et Atelier d'Initiation,,,4,,,,,,,,,,,,,
2,216,19-1783,2019-01-07,3,PRODUITS SURGELES ET CONGELES,,30000.0,15000.0,[],[],[],ville de marseille,,,13275,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,,,PRODUITS SURGELES ET CONGELES,,,1,,,,,,,,,,,,,
3,241,19-2192,2019-01-07,4,"Location, Installation/Désinstallation d'un Terrain de Hockey Synthéthique",,,,[],[],[],ville de marseille,,,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,,,"Location, Installation/Désinstallation d'un Terrain de Hockey Synthéthique",,,2,,,,,,,,,,,,,
4,240,19-2192,2019-01-07,4,"Location, Installation/Désinstallation d'un Skatepark et Animations associées",,,,[],[],[],ville de marseille,,,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,,,"Location, Installation/Désinstallation d'un Skatepark et Animations associées",,,2,,,,,,,,,,,,,
5,217,19-1783,2019-01-07,3,"EPICERIE GENERALE, PRODUITS AMBIANTS",,45000.0,12000.0,[],[],[],ville de marseille,,,13275,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,,,"EPICERIE GENERALE, PRODUITS AMBIANTS",,,2,,,,,,,,,,,,,
6,218,19-1783,2019-01-07,3,PRODUITS REFRIGERES OU FRAIS OU EN CONSERVE,,28500.0,10000.0,[],[],[],ville de marseille,,,13275,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,,,PRODUITS REFRIGERES OU FRAIS OU EN CONSERVE,,,3,,,,,,,,,,,,,
7,209,19-1609,2019-01-08,1,"Le présent marché porte sur la mission de contrôle technique des travaux d'extension/réhabilitation du groupe scolaire Saint-Louis Gare y compris travaux provisoires, démolition, désamiantage, dépollution, abattage d'arbres, plantations nouvelles, déménagement, etc pour l'extension du groupe scolaire à 20 classes sur la parcelle du groupe scolaire existant de 3 437 mètres carrés située - 16/32 rue Le Châtelier dans le 15ème arrondissement de Marseille et sur une emprise foncière complémentaire d'environ 600 m2. Les surfaces utiles totales futures seront d'environ 3 388 mètres carrés. Cet établissement de type R avec activité de type N, X, L classé en 3e catégorie devra permettre l'accueil d'environ 650 personnes. - Quantités (fournitures et services), nature et étendue (travaux) : les missions de contrôle technique sont détaillées à l'article 2.1 du règlement de consultation.",,,,['FRL04'],71632000,"[{'value': ""Prix de l'offre"", 'poids': '40'}, {'value': ""Valeur technique de l'offre"", 'poids': '60'}]",ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,,,,,,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<OPTIONS_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,,,,,,,,,
8,208,19-1604,2019-01-08,1,"Création et exécution de la maquette et secrétariat de rédaction de la Revue Culturelle ""Marseille""",,,,['FRL04'],79800000,"[{'value': ""Prix de l'offre"", 'poids': '35'}, {'value': ""Valeur technique de l'offre"", 'poids': '65'}]",ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,,,,,,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<OPTIONS_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,,,,,,,,,
9,214,19-1631,2019-01-08,1,Fourniture de papier de reprographie nécessaire aux services municipaux,,,,['FRL04'],30197642,"[{'value': ""Prix de l'offre"", 'poids': '80'}, {'value': 'Délai de livraison', 'poids': '20'}]",ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,,,,,,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<OPTIONS_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,,,,,,,,,
10,211,19-1615,2019-01-08,2,Fourniture et livraison de Sachets Repas destinés aux agents municipaux et/ou bénévoles lors de certainesmanifestations dans la Ville de Marseille Lot no2 : Montant minimum : 15 000 euro(s) HT Montant maximum : 60 000 euro(s) HT,,,,['FRL04'],55520000,[],ville de marseille,,FRL04,13233,marseille,http://marchespublics.mairie-marseille.fr,,,,,,,,,Fourniture et livraison de Sachets Repas,,,2,,,,,,,,,,,,,
